TIME,DOX2,DOX2_QC,DEPTH,station
2019-05-14,260.53095951995823,1.0,39.0,CCE1
2019-05-15,260.7182433172346,1.0,39.0,CCE1
2019-05-16,261.3511032593151,1.0,39.0,CCE1
2019-05-17,260.05260763571397,1.0,39.0,CCE1
2019-05-18,256.92738460837705,1.0,39.0,CCE1
2019-05-19,256.44030987829734,1.0,39.0,CCE1
2019-05-20,255.73954403238213,1.0,39.0,CCE1
2019-05-21,255.30531641416746,1.0,39.0,CCE1
2019-05-22,252.46737559018973,1.0,39.0,CCE1
2019-05-23,252.64759716643493,1.0,39.0,CCE1
2019-05-24,252.64408958745585,1.0,39.0,CCE1
2019-05-25,252.30504728254695,1.0,39.0,CCE1
2019-05-26,252.36801145972615,1.0,39.0,CCE1
2019-05-27,252.42914216221928,1.0,39.0,CCE1
2019-05-28,253.21581300237162,1.0,39.0,CCE1
2019-05-29,253.7041107172721,1.0,39.0,CCE1
2019-05-30,254.7470236448629,1.0,39.0,CCE1
2019-05-31,254.3590175224094,1.0,39.0,CCE1
2019-06-01,252.89536986884832,1.0,39.0,CCE1
2019-06-02,253.19753721238052,1.0,39.0,CCE1
2019-06-03,253.0545411688985,1.0,39.0,CCE1
2019-06-04,253.40283908401196,1.0,39.0,CCE1
2019-06-05,253.7287564776384,1.0,39.0,CCE1
2019-06-06,253.97872222722404,1.0,39.0,CCE1
2019-06-07,256.0870940852248,1.0,39.0,CCE1
2019-06-08,255.73191779727333,1.0,39.0,CCE1
2019-06-09,255.72945026061203,1.0,39.0,CCE1
2019-06-10,254.56004718302884,1.0,39.0,CCE1
2019-06-11,255.36883850609505,1.0,39.0,CCE1
2019-06-12,256.22546361280075,1.0,39.0,CCE1
2019-06-13,257.14064920713616,1.0,39.0,CCE1
2019-06-14,256.99220933577016,1.0,39.0,CCE1
2019-06-15,257.32104747355226,1.0,39.0,CCE1
2019-06-16,258.1639827715885,1.0,39.0,CCE1
2019-06-17,259.3069746477597,1.0,39.0,CCE1
2019-06-18,258.1619450451657,1.0,39.0,CCE1
