date,station,oxygen
2014-09-11,CCE2,259.8537292480469
2014-09-12,CCE2,262.6734313964844
2014-09-13,CCE2,258.2860107421875
2014-09-14,CCE2,262.18743896484375
2014-09-15,CCE2,261.08673095703125
2014-09-16,CCE2,263.7024841308594
2014-09-17,CCE2,257.6613464355469
2014-09-18,CCE2,260.3177795410156
2014-09-19,CCE2,266.1614685058594
2014-09-20,CCE2,273.3414001464844
2014-09-21,CCE2,275.8634948730469
2014-09-22,CCE2,268.9261169433594
2014-09-23,CCE2,280.6343688964844
2014-09-24,CCE2,263.9075622558594
2014-09-25,CCE2,268.0446472167969
2014-09-26,CCE2,269.2278747558594
2014-09-27,CCE2,265.2955017089844
2014-09-28,CCE2,265.2340393066406
2014-09-29,CCE2,262.80938720703125
2014-09-30,CCE2,265.1535949707031
2014-10-01,CCE2,262.5971374511719
2014-10-02,CCE2,266.0753479003906
2014-10-03,CCE2,263.24237060546875
2014-10-04,CCE2,266.4724426269531
2014-10-05,CCE2,266.7696228027344
2014-10-06,CCE2,261.4848327636719
2014-10-07,CCE2,266.3933410644531
2014-10-08,CCE2,254.0010986328125
2014-10-09,CCE2,246.6766357421875
2014-10-10,CCE2,252.10968017578125
2014-10-11,CCE2,258.20428466796875
2014-10-12,CCE2,255.00938415527344
2014-10-13,CCE2,254.3679046630859
2014-10-14,CCE2,260.7679138183594
2014-10-15,CCE2,243.72264099121097
2014-10-16,CCE2,249.0934600830078
2014-10-17,CCE2,235.3954315185547
2014-10-18,CCE2,244.26806640625
2014-10-19,CCE2,240.23980712890625
2014-10-20,CCE2,241.19541931152344
2014-10-21,CCE2,247.68377685546875
2014-10-22,CCE2,247.26768493652344
2014-10-23,CCE2,249.7755889892578
2014-10-24,CCE2,248.76788330078125
2014-10-25,CCE2,252.352783203125
2014-10-26,CCE2,256.9620056152344
2014-10-27,CCE2,252.9845428466797
2014-10-28,CCE2,254.1916961669922
2014-10-29,CCE2,254.3103790283203
2014-10-30,CCE2,269.8413391113281
2014-10-31,CCE2,260.2313537597656
2014-11-01,CCE2,255.4320831298828
2014-11-02,CCE2,256.1648864746094
2014-11-03,CCE2,255.6015625
2014-11-04,CCE2,254.2843017578125
2014-11-05,CCE2,255.0283966064453
2014-11-06,CCE2,256.6668701171875
2014-11-07,CCE2,255.0890350341797
2014-11-08,CCE2,249.9017791748047
2014-11-09,CCE2,246.888671875
2014-11-10,CCE2,246.457763671875
2014-11-11,CCE2,246.90997314453125
2014-11-12,CCE2,248.8653564453125
2014-11-13,CCE2,247.91648864746097
2014-11-14,CCE2,250.7637939453125
2014-11-15,CCE2,255.41148376464844
2014-11-16,CCE2,252.3319091796875
2014-11-17,CCE2,252.9480438232422
2014-11-18,CCE2,253.3323974609375
2014-11-19,CCE2,252.74945068359375
2014-11-20,CCE2,252.6114959716797
2014-11-21,CCE2,252.35743713378903
2014-11-22,CCE2,252.53668212890625
2014-11-23,CCE2,252.00376892089844
2014-11-24,CCE2,249.5236358642578
2014-11-25,CCE2,247.38978576660156
2014-11-26,CCE2,254.8393096923828
2014-11-27,CCE2,256.6853942871094
2014-11-28,CCE2,265.0957946777344
2014-11-29,CCE2,262.0881042480469
2014-11-30,CCE2,262.8700256347656
2014-12-01,CCE2,259.3787536621094
2014-12-02,CCE2,254.0400390625
2014-12-03,CCE2,252.5371856689453
2014-12-04,CCE2,252.3336944580078
2014-12-05,CCE2,252.38267517089844
2014-12-06,CCE2,250.9890594482422
2014-12-07,CCE2,253.0263214111328
2014-12-08,CCE2,253.3734130859375
2014-12-09,CCE2,252.8958740234375
2014-12-10,CCE2,253.3889007568359
2014-12-11,CCE2,251.9420928955078
2014-12-12,CCE2,250.5489044189453
2014-12-13,CCE2,250.7570648193359
2014-12-14,CCE2,250.0891876220703
2014-12-15,CCE2,250.19561767578125
2014-12-16,CCE2,250.578857421875
2014-12-17,CCE2,251.8259735107422
2014-12-18,CCE2,253.669921875
2014-12-19,CCE2,253.797607421875
2014-12-20,CCE2,251.67718505859375
2014-12-21,CCE2,252.43646240234375
2014-12-22,CCE2,254.07676696777344
2014-12-23,CCE2,252.59332275390625
2014-12-24,CCE2,251.45013427734375
2014-12-25,CCE2,249.0285186767578
2014-12-26,CCE2,249.74798583984375
2014-12-27,CCE2,250.0063934326172
2014-12-28,CCE2,252.3484039306641
2014-12-29,CCE2,255.9412841796875
2014-12-30,CCE2,257.1078186035156
2014-12-31,CCE2,256.1432189941406
2015-01-01,CCE2,252.6776123046875
2015-01-02,CCE2,252.1883544921875
2015-01-03,CCE2,253.9528350830078
2015-01-04,CCE2,256.3486633300781
2015-01-05,CCE2,256.4871826171875
2015-01-06,CCE2,258.1679992675781
2015-01-07,CCE2,262.6515808105469
2015-01-08,CCE2,259.9608459472656
2015-01-09,CCE2,261.87322998046875
2015-01-10,CCE2,260.0758972167969
2015-01-11,CCE2,261.5627136230469
2015-01-12,CCE2,261.2974853515625
2015-01-13,CCE2,257.2922058105469
2015-01-14,CCE2,253.24424743652344
2015-01-15,CCE2,256.7593688964844
2015-01-16,CCE2,263.3000793457031
2015-01-17,CCE2,259.05670166015625
2015-01-18,CCE2,257.5490417480469
2015-01-19,CCE2,256.44610595703125
2015-01-20,CCE2,258.7010803222656
2015-01-21,CCE2,255.2508544921875
2015-01-22,CCE2,254.5391845703125
2015-01-23,CCE2,258.5285949707031
2015-01-24,CCE2,261.3407897949219
2015-01-25,CCE2,262.2627258300781
2015-01-26,CCE2,261.8104553222656
2015-01-27,CCE2,260.9190979003906
2015-01-28,CCE2,260.9555358886719
2015-01-29,CCE2,261.3883972167969
2015-01-30,CCE2,262.1343078613281
2015-01-31,CCE2,253.97264099121097
2015-02-01,CCE2,254.14976501464844
2015-02-02,CCE2,256.7186279296875
2015-02-03,CCE2,260.0950927734375
2015-02-04,CCE2,259.8614196777344
2015-02-05,CCE2,254.53948974609375
2015-02-06,CCE2,255.93455505371097
2015-02-07,CCE2,257.7273254394531
2015-02-08,CCE2,258.0216369628906
2015-02-09,CCE2,255.1786651611328
2015-02-10,CCE2,259.4480895996094
2015-02-11,CCE2,259.72625732421875
2015-02-12,CCE2,259.2391052246094
2015-02-13,CCE2,258.5549621582031
2015-02-14,CCE2,260.0820617675781
2015-02-15,CCE2,262.13946533203125
2015-02-16,CCE2,263.1221618652344
2015-02-17,CCE2,262.9396057128906
2015-02-18,CCE2,260.99334716796875
2015-02-19,CCE2,261.3534851074219
2015-02-20,CCE2,262.2214660644531
2015-02-21,CCE2,260.44134521484375
2015-02-22,CCE2,262.3304748535156
2015-02-23,CCE2,263.8013000488281
2015-02-24,CCE2,264.3252258300781
2015-02-25,CCE2,264.7142333984375
2015-02-26,CCE2,263.54754638671875
2015-02-27,CCE2,262.05535888671875
2015-02-28,CCE2,258.7480163574219
2015-03-01,CCE2,258.9810485839844
2015-03-02,CCE2,262.6901550292969
2015-03-03,CCE2,261.95574951171875
2015-03-04,CCE2,261.51385498046875
2015-03-05,CCE2,265.6072692871094
2015-03-06,CCE2,273.5160827636719
2015-03-07,CCE2,278.78118896484375
2015-03-08,CCE2,291.90618896484375
2015-03-09,CCE2,288.1335144042969
2015-03-10,CCE2,271.7693786621094
2015-03-11,CCE2,261.9763488769531
2015-03-12,CCE2,265.0968933105469
2015-03-13,CCE2,258.9815368652344
2015-03-14,CCE2,260.31549072265625
2015-03-15,CCE2,260.4228210449219
2015-03-16,CCE2,265.0611572265625
2015-03-17,CCE2,263.52581787109375
2015-03-18,CCE2,260.7132263183594
2015-03-19,CCE2,260.7065124511719
2015-03-20,CCE2,264.73504638671875
